City,toStation,Area,Age,Price
NerimaKU,4,65,43,3400
NerimaKU,15,65,36,3400
NerimaKU,13,65,32,3400
NerimaKU,14,65,22,3400
NerimaKU,9,65,8,3400
Hachioji,6,65,19,3300
Hachioji,6,65,6,3300
Hachioji,8,65,2,3300
Hachioji,15,65,2,3300
NerimaKU,8,65,44,3300
NerimaKU,12,65,22,3300
NerimaKU,11,65,18,3300
NerimaKU,6,65,10,3300
NerimaKU,6,65,26,3300
NerimaKU,13,65,25,3300
NerimaKU,9,65,23,3300
Hachioji,11,65,10,3200
Hachioji,16,65,2,3200
NerimaKU,10,65,22,3200
Hachioji,7,65,6,3100
Hachioji,10,65,6,3100
NerimaKU,3,65,34,3100
NerimaKU,16,65,31,3100
NerimaKU,4,65,3,3100
NerimaKU,13,65,25,3100
Hachioji,9,65,10,3000
Hachioji,8,65,2,3000
Hachioji,10,65,2,3000
NerimaKU,14,65,45,3000
NerimaKU,2,65,21,3000
NerimaKU,10,65,13,3000
NerimaKU,17,65,30,3000
Hachioji,11,65,15,2900
Hachioji,6,65,19,2800
Hachioji,8,65,2,2800
NerimaKU,16,65,18,2800
NerimaKU,10,65,23,2800
Hachioji,8,65,20,2700
Hachioji,6,65,16,2700
NerimaKU,16,65,17,2700
Hachioji,8,65,19,2600
Hachioji,11,65,11,2600
Hachioji,4,65,10,2600
Hachioji,9,65,19,2500
Hachioji,7,65,18,2500
Hachioji,19,65,14,2500
Hachioji,3,65,12,2500
Hachioji,4,65,10,2500
Hachioji,6,65,9,2500
NerimaKU,18,65,26,2500
Hachioji,6,65,18,2400
Hachioji,15,65,16,2400
Hachioji,10,65,11,2400
Hachioji,8,65,2,2400
Hachioji,7,65,25,2400
NerimaKU,8,65,44,2400
Hachioji,9,65,14,2300
Hachioji,6,65,9,2300
Hachioji,10,65,5,2300
NerimaKU,15,65,36,2300
NerimaKU,16,65,31,2300
NerimaKU,11,65,24,2300
Hachioji,15,65,22,2200
Hachioji,3,65,21,2200
Hachioji,8,65,21,2200
Hachioji,9,65,20,2200
Hachioji,16,65,17,2200
Hachioji,2,65,14,2200
Hachioji,4,65,11,2200
NerimaKU,4,65,43,2200
Hachioji,3,65,47,2100
Hachioji,8,65,2,2100
NerimaKU,14,65,45,2100
Hachioji,2,65,46,2000
Hachioji,18,65,17,2000
Hachioji,9,65,12,2000
Hachioji,16,65,11,2000
NerimaKU,16,65,40,2000
NerimaKU,14,65,22,2000
Hachioji,15,65,21,1900
Hachioji,20,65,19,1900
Hachioji,15,65,16,1900
Hachioji,23,65,16,1900
Hachioji,12,65,12,1900
Hachioji,24,65,25,1900
Hachioji,19,65,24,1900
NerimaKU,15,65,21,1900
Hachioji,1,65,42,1800
Hachioji,12,65,33,1800
Hachioji,15,65,25,1800
Hachioji,1,65,42,1700
Hachioji,2,65,42,1700
Hachioji,6,65,29,1700
Hachioji,15,65,24,1700
Hachioji,4,65,50,1600
Hachioji,4,65,50,1600
Hachioji,10,65,37,1600
Hachioji,25,65,13,1600
Hachioji,8,65,25,1600
Hachioji,1,65,46,1500
Hachioji,4,65,36,1500
Hachioji,15,65,32,1500
Hachioji,19,65,19,1500
Hachioji,12,65,23,1500
Hachioji,16,65,39,1400
Hachioji,15,65,22,1400
Hachioji,20,65,22,1400
Hachioji,8,65,25,1400
Hachioji,5,65,50,1300
Hachioji,3,65,47,1300
Hachioji,8,65,32,1300
Hachioji,14,65,16,1300
Hachioji,2,65,47,1200
Hachioji,45,65,22,1100
Hachioji,4,65,50,1000
Hachioji,2,65,42,900
Hachioji,13,65,46,880
Hachioji,5,65,50,850
Hachioji,10,65,30,790
Hachioji,5,65,50,750
Hachioji,21,65,13,730
Hachioji,12,65,33,700
Hachioji,15,65,16,700
Hachioji,5,65,50,600
Hachioji,6,65,46,600
Hachioji,6,65,44,500
Hachioji,4,65,50,380
Hachioji,24,65,25,180
ChuoKU,2,60,27,11000
ChuoKU,1,60,2,9600
ChuoKU,8,60,3,8400
ChuoKU,2,60,8,8200
ChuoKU,9,60,5,7900
ChuoKU,0,60,10,7500
ChuoKU,5,60,4,7400
ChuoKU,10,60,5,7100
ChuoKU,4,60,5,7000
ChuoKU,2,60,7,6900
ChuoKU,2,60,7,6900
NerimaKU,6,60,1,6800
ChuoKU,5,60,4,6700
ChuoKU,11,60,7,6600
ChuoKU,11,60,7,6600
ChuoKU,1,60,3,6600
ChuoKU,0,60,20,6500
ChuoKU,1,60,15,6500
ChuoKU,2,60,7,6500
ChuoKU,5,60,9,6400
ChuoKU,13,60,4,6300
ChuoKU,2,60,13,6200
ChuoKU,2,60,7,6200
ChuoKU,3,60,21,6100
ChuoKU,0,60,18,6100
ChuoKU,2,60,6,6100
ChuoKU,2,60,16,5900
ChuoKU,5,60,15,5900
ChuoKU,2,60,6,5900
ChuoKU,2,60,15,5800
ChuoKU,2,60,6,5800
ChuoKU,4,60,22,5700
ChuoKU,6,60,4,5700
ChuoKU,5,60,21,5600
ChuoKU,6,60,12,5600
ChuoKU,8,60,8,5500
ChuoKU,10,60,20,5400
ChuoKU,4,60,17,5400
ChuoKU,4,60,12,5300
NerimaKU,7,60,17,5300
NerimaKU,7,60,8,5300
ChuoKU,5,60,9,5200
NerimaKU,9,60,11,5200
ChuoKU,4,60,17,5100
ChuoKU,5,60,9,5100
NerimaKU,5,60,15,5100
ChuoKU,1,60,21,5000
ChuoKU,4,60,20,5000
ChuoKU,8,60,19,5000
ChuoKU,2,60,21,4900
ChuoKU,8,60,27,4900
NerimaKU,3,60,20,4900
NerimaKU,3,60,8,4900
NerimaKU,4,60,5,4900
NerimaKU,5,60,3,4900
NerimaKU,6,60,1,4900
NerimaKU,7,60,22,4800
NerimaKU,7,60,25,4800
ChuoKU,9,60,20,4700
ChuoKU,8,60,13,4700
NerimaKU,5,60,13,4700
NerimaKU,4,60,10,4700
ChuoKU,9,60,20,4500
ChuoKU,3,60,16,4500
ChuoKU,4,60,8,4500
NerimaKU,12,60,7,4500
NerimaKU,9,60,25,4500
ChuoKU,3,60,21,4400
NerimaKU,10,60,11,4400
NerimaKU,5,60,26,4400
NerimaKU,7,60,22,4300
NerimaKU,2,60,21,4300
NerimaKU,7,60,14,4300
NerimaKU,7,60,11,4300
NerimaKU,7,60,24,4300
ChuoKU,2,60,35,4200
NerimaKU,6,60,36,4200
NerimaKU,6,60,20,4200
NerimaKU,7,60,9,4200
NerimaKU,7,60,9,4200
ChuoKU,5,60,22,4100
ChuoKU,2,60,21,4100
ChuoKU,2,60,17,4100
NerimaKU,14,60,22,4100
NerimaKU,6,60,20,4100
NerimaKU,7,60,11,4100
NerimaKU,9,60,8,4100
NerimaKU,18,60,24,4100
NerimaKU,3,60,39,4000
NerimaKU,3,60,33,4000
NerimaKU,4,60,32,4000
NerimaKU,2,60,19,4000
NerimaKU,13,60,18,4000
NerimaKU,12,60,16,4000
NerimaKU,12,60,13,4000
NerimaKU,9,60,25,4000
NerimaKU,0,60,24,4000
NerimaKU,7,60,18,3900
NerimaKU,3,60,16,3900
NerimaKU,8,60,10,3900
NerimaKU,8,60,7,3900
NerimaKU,8,60,7,3900
NerimaKU,6,60,35,3800
NerimaKU,5,60,21,3800
NerimaKU,8,60,23,3800
ChuoKU,3,60,38,3700
ChuoKU,10,60,23,3700
NerimaKU,7,60,24,3700
NerimaKU,10,60,31,3600
NerimaKU,7,60,22,3600
NerimaKU,10,60,15,3600
NerimaKU,4,60,50,3500
NerimaKU,5,60,35,3500
NerimaKU,9,60,32,3500
NerimaKU,8,60,21,3500
NerimaKU,8,60,21,3500
NerimaKU,16,60,21,3500
NerimaKU,20,60,15,3500
NerimaKU,10,60,14,3400
NerimaKU,11,60,25,3400
NerimaKU,4,60,32,3300
NerimaKU,20,60,15,3300
NerimaKU,6,60,10,3300
NerimaKU,5,60,26,3300
NerimaKU,14,60,26,3300
NerimaKU,16,60,24,3300
NerimaKU,11,60,23,3300
Hachioji,11,60,23,3200
Hachioji,11,60,23,3200
NerimaKU,9,60,47,3200
NerimaKU,6,60,36,3200
NerimaKU,8,60,10,3200
NerimaKU,8,60,26,3200
NerimaKU,8,60,25,3200
Hachioji,11,60,22,3100
Hachioji,4,60,14,3100
Hachioji,21,60,10,3100
NerimaKU,8,60,34,3100
NerimaKU,13,60,21,3100
NerimaKU,8,60,17,3100
NerimaKU,14,60,29,3100
NerimaKU,12,60,27,3100
NerimaKU,18,60,24,3100
Hachioji,13,60,46,3000
Hachioji,1,60,17,3000
Hachioji,2,60,8,3000
Hachioji,12,60,5,3000
Hachioji,25,60,24,3000
NerimaKU,4,60,32,3000
NerimaKU,16,60,25,3000
Hachioji,11,60,4,2900
Hachioji,11,60,23,2900
NerimaKU,2,60,35,2900
NerimaKU,16,60,26,2900
NerimaKU,1,60,37,2800
NerimaKU,15,60,36,2800
NerimaKU,12,60,34,2800
Hachioji,4,60,18,2700
Hachioji,14,60,7,2700
Hachioji,11,60,5,2700
Hachioji,14,60,24,2700
NerimaKU,6,60,35,2700
Hachioji,11,60,5,2600
NerimaKU,20,60,36,2600
NerimaKU,15,60,13,2600
NerimaKU,8,60,30,2600
NerimaKU,18,60,28,2600
Hachioji,11,60,5,2500
Hachioji,6,60,24,2500
NerimaKU,11,60,35,2500
NerimaKU,16,60,21,2500
NerimaKU,45,60,9,2500
NerimaKU,16,60,24,2500
Hachioji,16,60,15,2400
Hachioji,18,60,11,2400
NerimaKU,45,60,9,2400
Hachioji,10,60,12,2300
Hachioji,8,60,9,2300
Hachioji,11,60,5,2300
NerimaKU,14,60,26,2300
NerimaKU,13,60,40,2200
NerimaKU,7,60,35,2200
NerimaKU,18,60,28,2200
NerimaKU,16,60,26,2200
NerimaKU,6,60,35,2100
NerimaKU,16,60,31,2100
Hachioji,3,60,20,2000
Hachioji,12,60,6,2000
Hachioji,8,60,46,1900
Hachioji,9,60,22,1900
NerimaKU,5,60,43,1900
Hachioji,20,60,19,1800
Hachioji,9,60,24,1800
Hachioji,13,60,23,1800
Hachioji,4,60,50,1700
Hachioji,6,60,46,1700
Hachioji,9,60,47,1600
Hachioji,16,60,16,1600
Hachioji,6,60,45,1500
Hachioji,15,60,25,1500
NerimaKU,45,60,9,1500
Hachioji,9,60,48,1400
Hachioji,6,60,45,1400
Hachioji,6,60,45,1400
Hachioji,7,60,27,1400
Hachioji,4,60,50,1300
Hachioji,8,60,48,1300
Hachioji,9,60,45,1300
Hachioji,9,60,47,1200
Hachioji,20,60,19,1200
Hachioji,15,60,23,1200
Hachioji,4,60,46,1100
Hachioji,6,60,46,1100
Hachioji,4,60,25,1100
NerimaKU,13,60,45,1100
Hachioji,6,60,45,1000
Hachioji,6,60,45,1000
Hachioji,6,60,45,990
Hachioji,5,60,45,980
Hachioji,3,60,46,950
Hachioji,9,60,46,950
Hachioji,5,60,45,870
Hachioji,6,60,45,850
NerimaKU,15,60,20,850
Hachioji,8,60,47,780
Hachioji,4,60,50,750
Hachioji,5,60,50,750
Hachioji,9,60,48,400
Hachioji,4,60,50,390
ChuoKU,6,55,17,9500
ChuoKU,3,55,1,8000
ChuoKU,9,55,5,7800
ChuoKU,0,55,10,7600
ChuoKU,9,55,5,7500
ChuoKU,9,55,5,7500
ChuoKU,2,55,1,7300
ChuoKU,3,55,1,7300
ChuoKU,9,55,21,7100
ChuoKU,3,55,7,7100
ChuoKU,1,55,6,7100
ChuoKU,9,55,5,7100
ChuoKU,0,55,10,7000
ChuoKU,9,55,5,7000
ChuoKU,1,55,7,6900
ChuoKU,9,55,5,6800
ChuoKU,0,55,10,6700
ChuoKU,5,55,9,6600
ChuoKU,11,55,5,6600
ChuoKU,6,55,3,6600
ChuoKU,0,55,18,6500
ChuoKU,2,55,17,6500
ChuoKU,9,55,5,6500
ChuoKU,6,55,3,6500
ChuoKU,2,55,9,6400
ChuoKU,3,55,8,6400
ChuoKU,3,55,6,6400
ChuoKU,9,55,5,6400
ChuoKU,11,55,5,6400
ChuoKU,11,55,5,6400
ChuoKU,2,55,16,6300
ChuoKU,6,55,4,6300
ChuoKU,13,55,4,6300
ChuoKU,1,55,3,6300
ChuoKU,2,55,11,6200
ChuoKU,3,55,9,6200
ChuoKU,7,55,5,6200
ChuoKU,11,55,5,6200
ChuoKU,11,55,5,6200
ChuoKU,13,55,4,6200
ChuoKU,1,55,3,6200
ChuoKU,0,55,18,6100
ChuoKU,2,55,5,6100
ChuoKU,0,55,10,6000
ChuoKU,4,55,9,6000
ChuoKU,11,55,5,6000
ChuoKU,9,55,21,5900
ChuoKU,13,55,4,5900
ChuoKU,1,55,15,5800
ChuoKU,0,55,10,5800
ChuoKU,3,55,8,5800
ChuoKU,4,55,6,5800
ChuoKU,6,55,5,5800
ChuoKU,11,55,5,5800
ChuoKU,9,55,22,5700
ChuoKU,3,55,17,5600
ChuoKU,1,55,15,5600
ChuoKU,6,55,9,5600
ChuoKU,6,55,4,5600
ChuoKU,2,55,1,5600
NerimaKU,3,55,17,5600
ChuoKU,1,55,15,5500
ChuoKU,2,55,14,5500
ChuoKU,4,55,8,5500
ChuoKU,9,55,27,5500
ChuoKU,1,55,12,5400
ChuoKU,2,55,9,5400
ChuoKU,4,55,8,5400
ChuoKU,11,55,7,5400
ChuoKU,2,55,6,5400
ChuoKU,3,55,6,5400
ChuoKU,13,55,4,5400
ChuoKU,9,55,22,5300
ChuoKU,0,55,18,5300
ChuoKU,1,55,18,5300
ChuoKU,8,55,13,5300
ChuoKU,12,55,11,5300
ChuoKU,12,55,4,5300
ChuoKU,8,55,27,5300
ChuoKU,3,55,40,5200
ChuoKU,9,55,21,5200
ChuoKU,0,55,17,5200
ChuoKU,2,55,16,5200
ChuoKU,5,55,15,5200
ChuoKU,6,55,8,5200
ChuoKU,1,55,18,5100
ChuoKU,3,55,18,5100
ChuoKU,4,55,15,5100
ChuoKU,13,55,11,5100
ChuoKU,3,55,8,5100
ChuoKU,6,55,4,5100
ChuoKU,4,55,44,5000
ChuoKU,3,55,20,5000
ChuoKU,3,55,17,5000
ChuoKU,5,55,17,5000
ChuoKU,1,55,13,5000
ChuoKU,6,55,12,5000
ChuoKU,12,55,11,5000
ChuoKU,3,55,6,5000
ChuoKU,1,55,19,4900
ChuoKU,4,55,19,4900
ChuoKU,2,55,16,4900
ChuoKU,4,55,9,4900
ChuoKU,7,55,29,4900
NerimaKU,9,55,19,4900
ChuoKU,5,55,39,4800
ChuoKU,4,55,20,4800
ChuoKU,3,55,18,4800
ChuoKU,3,55,18,4800
ChuoKU,4,55,17,4800
ChuoKU,8,55,8,4800
NerimaKU,1,55,10,4800
ChuoKU,4,55,20,4700
NerimaKU,5,55,4,4700
NerimaKU,5,55,13,4600
ChuoKU,8,55,8,4500
ChuoKU,6,55,4,4500
NerimaKU,1,55,10,4500
NerimaKU,10,55,27,4500
ChuoKU,9,55,22,4400
ChuoKU,9,55,22,4400
ChuoKU,1,55,19,4400
ChuoKU,5,55,40,4300
ChuoKU,5,55,40,4300
ChuoKU,5,55,20,4300
ChuoKU,3,55,17,4300
NerimaKU,7,55,10,4300
NerimaKU,5,55,19,4200
NerimaKU,1,55,10,4200
NerimaKU,2,55,26,4200
NerimaKU,3,55,25,4200
ChuoKU,5,55,40,4000
ChuoKU,3,55,22,4000
NerimaKU,4,55,19,4000
NerimaKU,10,55,27,4000
NerimaKU,0,55,16,3900
ChuoKU,3,55,40,3800
NerimaKU,7,55,11,3800
NerimaKU,7,55,26,3800
NerimaKU,10,55,22,3700
NerimaKU,4,55,21,3700
ChuoKU,0,55,18,3600
NerimaKU,20,55,25,3600
ChuoKU,4,55,15,3500
NerimaKU,9,55,13,3500
NerimaKU,15,55,12,3500
NerimaKU,4,55,13,3400
NerimaKU,5,55,30,3400
NerimaKU,7,55,28,3400
NerimaKU,5,55,36,3300
NerimaKU,7,55,32,3300
NerimaKU,14,55,19,3300
NerimaKU,8,55,18,3300
NerimaKU,9,55,13,3300
NerimaKU,11,55,11,3300
NerimaKU,10,55,5,3300
NerimaKU,7,55,25,3300
NerimaKU,1,55,48,3200
NerimaKU,7,55,19,3200
NerimaKU,10,55,5,3200
NerimaKU,6,55,26,3200
ChuoKU,4,55,44,3100
Hachioji,8,55,2,3100
NerimaKU,4,55,33,3100
NerimaKU,2,55,17,3100
NerimaKU,12,55,7,3100
NerimaKU,3,55,30,3100
NerimaKU,6,55,24,3100
Hachioji,8,55,2,3000
NerimaKU,4,55,19,3000
NerimaKU,16,55,14,3000
NerimaKU,7,55,25,3000
NerimaKU,11,55,25,3000
NerimaKU,18,55,24,3000
Hachioji,8,55,19,2900
NerimaKU,6,55,32,2900
NerimaKU,7,55,32,2900
NerimaKU,13,55,26,2900
NerimaKU,16,55,24,2900
Hachioji,8,55,2,2800
NerimaKU,9,55,8,2800
NerimaKU,5,55,27,2800
NerimaKU,11,55,25,2800
Hachioji,7,55,21,2700
Hachioji,8,55,2,2700
NerimaKU,9,55,32,2600
NerimaKU,11,55,30,2600
ChuoKU,0,55,10,2500
Hachioji,8,55,2,2500
NerimaKU,1,55,48,2500
NerimaKU,13,55,21,2500
Hachioji,14,55,10,2400
Hachioji,21,55,10,2400
Hachioji,15,55,2,2400
Hachioji,11,55,25,2400
NerimaKU,3,55,37,2400
NerimaKU,7,55,34,2400
NerimaKU,7,55,34,2400
NerimaKU,9,55,22,2400
NerimaKU,7,55,18,2400
NerimaKU,4,55,47,2300
NerimaKU,6,55,29,2300
Hachioji,13,55,15,2200
NerimaKU,3,55,47,2200
NerimaKU,18,55,24,2200
Hachioji,14,55,20,2100
Hachioji,9,55,12,2100
Hachioji,8,55,2,2100
NerimaKU,13,55,43,2100
NerimaKU,14,55,31,2100
Hachioji,17,55,21,2000
Hachioji,10,55,14,2000
NerimaKU,8,55,46,2000
NerimaKU,10,55,40,2000
NerimaKU,28,55,21,2000
NerimaKU,18,55,24,2000
Hachioji,8,55,2,1900
NerimaKU,1,55,48,1900
NerimaKU,3,55,39,1900
NerimaKU,9,55,32,1900
Hachioji,8,55,23,1800
NerimaKU,1,55,48,1800
NerimaKU,15,55,27,1800
NerimaKU,45,55,24,1700
Hachioji,9,55,25,1600
Hachioji,9,55,36,1500
NerimaKU,10,55,28,1500
Hachioji,9,55,48,1400
Hachioji,3,55,47,1400
Hachioji,3,55,47,1400
Hachioji,45,55,22,1400
Hachioji,19,55,25,1400
Hachioji,14,55,24,1400
Hachioji,14,55,27,1300
Hachioji,9,55,48,1200
Hachioji,3,55,47,1200
Hachioji,1,55,44,1200
Hachioji,5,55,44,1200
NerimaKU,13,55,36,1200
Hachioji,8,55,46,1100
Hachioji,12,55,44,1100
NerimaKU,4,55,47,1100
Hachioji,8,55,44,1000
Hachioji,2,55,40,980
Hachioji,6,55,42,970
Hachioji,45,55,25,970
Hachioji,8,55,48,880
Hachioji,8,55,48,850
Hachioji,9,55,48,800
Hachioji,17,55,39,720
Hachioji,8,55,44,700
Hachioji,5,55,42,700
Hachioji,8,55,48,680
Hachioji,9,55,44,660
Hachioji,5,55,42,650
Hachioji,7,55,44,620
Hachioji,8,55,47,600
Hachioji,12,55,34,450
Hachioji,3,55,42,260
ChuoKU,2,50,17,13000
ChuoKU,2,50,17,12000
ChuoKU,2,50,17,12000
ChuoKU,9,50,5,7800
ChuoKU,10,50,5,7800
ChuoKU,4,50,4,7200
ChuoKU,0,50,5,7000
ChuoKU,3,50,1,7000
ChuoKU,2,50,1,6800
ChuoKU,3,50,1,6700
ChuoKU,2,50,1,6600
ChuoKU,4,50,2,6500
ChuoKU,2,50,9,6400
ChuoKU,4,50,9,6400
ChuoKU,0,50,10,6100
ChuoKU,4,50,9,6000
ChuoKU,2,50,7,6000
ChuoKU,9,50,5,6000
ChuoKU,9,50,21,5900
ChuoKU,1,50,21,5800
ChuoKU,6,50,11,5800
ChuoKU,4,50,5,5800
ChuoKU,10,50,5,5800
ChuoKU,6,50,8,5700
ChuoKU,6,50,5,5700
ChuoKU,11,50,5,5700
ChuoKU,11,50,5,5700
ChuoKU,1,50,21,5600
ChuoKU,5,50,9,5600
ChuoKU,11,50,5,5600
ChuoKU,9,50,21,5500
ChuoKU,4,50,8,5500
ChuoKU,8,50,8,5500
ChuoKU,2,50,21,5400
ChuoKU,3,50,15,5400
ChuoKU,8,50,15,5300
ChuoKU,1,50,15,5200
ChuoKU,6,50,6,5200
ChuoKU,2,50,1,5200
ChuoKU,2,50,1,5200
ChuoKU,3,50,16,5100
ChuoKU,5,50,9,5100
ChuoKU,2,50,15,5000
ChuoKU,4,50,15,5000
ChuoKU,5,50,15,5000
ChuoKU,3,50,14,5000
ChuoKU,2,50,10,5000
ChuoKU,9,50,8,5000
ChuoKU,6,50,6,5000
ChuoKU,2,50,20,4900
ChuoKU,4,50,20,4900
ChuoKU,3,50,19,4900
ChuoKU,2,50,15,4900
ChuoKU,3,50,6,4900
ChuoKU,2,50,17,4800
ChuoKU,3,50,16,4800
ChuoKU,4,50,15,4800
ChuoKU,4,50,15,4800
ChuoKU,3,50,14,4800
ChuoKU,1,50,11,4800
ChuoKU,7,50,15,4700
ChuoKU,4,50,13,4700
ChuoKU,4,50,12,4700
ChuoKU,2,50,21,4600
ChuoKU,3,50,14,4400
NerimaKU,6,50,14,4400
ChuoKU,5,50,40,4300
ChuoKU,1,50,21,4300
ChuoKU,5,50,17,4300
ChuoKU,2,50,16,4300
ChuoKU,2,50,8,4200
ChuoKU,5,50,40,4100
ChuoKU,2,50,8,4100
ChuoKU,2,50,8,4100
ChuoKU,5,50,20,4000
NerimaKU,3,50,16,3900
NerimaKU,6,50,34,3800
NerimaKU,7,50,22,3800
NerimaKU,1,50,16,3800
ChuoKU,6,50,22,3700
ChuoKU,2,50,18,3700
NerimaKU,5,50,21,3700
ChuoKU,3,50,42,3600
NerimaKU,4,50,31,3500
NerimaKU,2,50,22,3500
NerimaKU,12,50,5,3500
NerimaKU,8,50,30,3500
NerimaKU,14,50,19,3400
ChuoKU,1,50,40,3300
NerimaKU,5,50,35,3300
NerimaKU,8,50,7,3300
ChuoKU,5,50,40,3200
ChuoKU,5,50,40,3200
NerimaKU,1,50,48,3200
NerimaKU,2,50,7,3200
NerimaKU,3,50,24,3200
NerimaKU,13,50,24,3200
NerimaKU,1,50,24,3100
NerimaKU,7,50,48,3000
NerimaKU,4,50,34,3000
NerimaKU,10,50,26,3000
NerimaKU,7,50,25,3000
ChuoKU,2,50,15,2900
NerimaKU,6,50,48,2900
NerimaKU,4,50,47,2900
NerimaKU,5,50,47,2900
NerimaKU,1,50,35,2900
NerimaKU,5,50,9,2900
NerimaKU,5,50,51,2800
NerimaKU,7,50,49,2700
NerimaKU,4,50,47,2700
ChuoKU,2,50,36,2600
NerimaKU,7,50,32,2500
NerimaKU,7,50,20,2500
NerimaKU,2,50,26,2400
NerimaKU,2,50,26,2400
NerimaKU,17,50,30,2300
NerimaKU,4,50,24,2300
NerimaKU,6,50,48,2200
NerimaKU,6,50,34,2200
NerimaKU,7,50,26,2200
NerimaKU,6,50,48,2100
NerimaKU,18,50,20,2100
NerimaKU,18,50,25,2100
Hachioji,3,50,16,2000
Hachioji,8,50,23,2000
NerimaKU,7,50,48,2000
NerimaKU,10,50,36,2000
NerimaKU,16,50,22,2000
NerimaKU,18,50,20,2000
NerimaKU,7,50,24,1900
NerimaKU,5,50,50,1800
NerimaKU,19,50,28,1800
Hachioji,15,50,25,1700
Hachioji,10,50,47,1600
Hachioji,3,50,40,1600
Hachioji,13,50,24,1500
NerimaKU,7,50,49,1500
NerimaKU,1,50,48,1500
Hachioji,10,50,47,1400
Hachioji,15,50,23,1400
NerimaKU,9,50,46,1400
NerimaKU,45,50,25,1400
Hachioji,10,50,47,1300
Hachioji,15,50,47,1000
Hachioji,3,50,46,970
Hachioji,21,50,46,950
Hachioji,14,50,41,850
Hachioji,8,50,47,820
Hachioji,8,50,47,800
Hachioji,15,50,47,750
Hachioji,10,50,47,710
Hachioji,11,50,47,500
Hachioji,3,50,24,500
Hachioji,14,50,32,300
ChuoKU,8,45,16,6600
ChuoKU,9,45,5,6500
ChuoKU,9,45,5,6100
ChuoKU,9,45,5,6000
ChuoKU,10,45,5,6000
ChuoKU,9,45,5,5900
ChuoKU,8,45,3,5600
ChuoKU,2,45,16,5400
ChuoKU,6,45,6,5400
ChuoKU,2,45,13,5300
ChuoKU,9,45,5,5300
ChuoKU,9,45,5,5300
ChuoKU,6,45,4,5100
ChuoKU,4,45,9,4900
ChuoKU,7,45,15,4600
ChuoKU,11,45,7,4600
ChuoKU,2,45,15,4500
ChuoKU,11,45,7,4500
ChuoKU,6,45,4,4500
ChuoKU,1,45,21,4400
ChuoKU,8,45,13,4400
ChuoKU,11,45,7,4400
ChuoKU,6,45,21,4300
ChuoKU,4,45,18,4300
ChuoKU,3,45,9,4300
ChuoKU,2,45,17,4200
ChuoKU,3,45,16,4200
ChuoKU,12,45,11,4200
ChuoKU,11,45,7,4200
ChuoKU,4,45,35,4100
ChuoKU,3,45,18,4100
ChuoKU,1,45,16,4100
ChuoKU,1,45,15,4100
ChuoKU,7,45,15,4100
ChuoKU,3,45,18,4000
ChuoKU,7,45,15,4000
ChuoKU,12,45,11,4000
ChuoKU,3,45,6,4000
ChuoKU,2,45,42,3900
ChuoKU,5,45,20,3900
ChuoKU,2,45,15,3900
ChuoKU,1,45,36,3800
ChuoKU,7,45,31,3700
ChuoKU,3,45,20,3700
NerimaKU,6,45,15,3700
ChuoKU,5,45,16,3600
ChuoKU,7,45,16,3600
ChuoKU,5,45,8,3600
ChuoKU,2,45,20,3500
ChuoKU,4,45,49,3300
ChuoKU,2,45,16,3300
NerimaKU,7,45,34,3300
ChuoKU,2,45,20,3200
ChuoKU,1,45,21,3100
Hachioji,4,45,18,3000
NerimaKU,2,45,21,3000
NerimaKU,4,45,25,2900
ChuoKU,2,45,20,2800
NerimaKU,2,45,26,2800
NerimaKU,6,45,51,2700
NerimaKU,7,45,49,2700
NerimaKU,4,45,32,2700
NerimaKU,11,45,26,2700
ChuoKU,4,45,49,2600
NerimaKU,7,45,49,2500
NerimaKU,7,45,34,2500
NerimaKU,11,45,31,2500
NerimaKU,6,45,27,2500
NerimaKU,8,45,49,2400
NerimaKU,21,45,36,2400
NerimaKU,21,45,36,2400
NerimaKU,8,45,50,2200
NerimaKU,8,45,49,2200
NerimaKU,4,45,44,2200
NerimaKU,7,45,34,2200
NerimaKU,8,45,30,2200
NerimaKU,11,45,29,2200
ChuoKU,8,45,37,2100
NerimaKU,11,45,34,2100
NerimaKU,5,45,35,1700
ChuoKU,4,45,49,1600
NerimaKU,11,45,34,1600
NerimaKU,8,45,49,1500
NerimaKU,11,45,41,1500
NerimaKU,21,45,36,1500
NerimaKU,8,45,26,1400
NerimaKU,9,45,27,1300
NerimaKU,12,45,46,1100
Hachioji,21,45,46,850
Hachioji,4,45,33,650
NerimaKU,8,45,36,180
ChuoKU,9,40,5,6100
ChuoKU,9,40,5,5700
ChuoKU,9,40,5,5700
ChuoKU,9,40,5,5700
ChuoKU,9,40,5,5700
ChuoKU,9,40,5,5600
ChuoKU,2,40,15,5500
ChuoKU,8,40,5,5400
ChuoKU,4,40,2,5400
ChuoKU,4,40,2,5300
ChuoKU,4,40,2,5300
ChuoKU,2,40,1,5300
ChuoKU,3,40,1,5300
ChuoKU,2,40,13,5200
ChuoKU,6,40,8,5200
ChuoKU,4,40,2,5200
ChuoKU,4,40,2,5100
ChuoKU,2,40,1,5100
ChuoKU,9,40,5,5000
ChuoKU,13,40,4,5000
ChuoKU,2,40,16,4900
ChuoKU,1,40,12,4900
ChuoKU,1,40,12,4900
ChuoKU,1,40,7,4900
ChuoKU,4,40,2,4900
ChuoKU,4,40,2,4900
ChuoKU,9,40,22,4800
ChuoKU,3,40,16,4800
ChuoKU,3,40,7,4800
